,WordText,WordTextLower,CategoryLabel
349,the  National Security Diversity and Inclusion Workforce Act, national security diversity and inclusion workforce act,ACT
350,the Committee on Foreign Relations,committee on foreign relations,ORG
351,the Committee on Armed Services,committee on armed services,ORG
352,Governmental Affairs,governmental affairs,ORG
353,the Select Committee on Intelligence,select committee on intelligence,ORG
354,the Committee on Appropriations of the Senate,committee on appropriations of senate,ORG
355,the Committee on Foreign Affairs,committee on foreign affairs,ORG
356,the Permanent Select Committee on Intelligence,permanent select committee on intelligence,ORG
357,the Committee on Appropriations of the House of Representatives,committee on appropriations of house of representatives,ORG
358,the Department of State,department of state,ORG
359,the United States Agency,united states agency,GPE
360,International Development,international development,ORG
361,the Department of Defense,department of defense,ORG
362,the Armed Forces,armed forces,ORG
363,the Office of International Affairs,office of international affairs,ORG
364,the Office of Critical Infrastructure Protection of the Department of the Treasury,office of critical infrastructure protection of department of treasury,ORG
365,the National Security Division of,national security division of,ORG
366,the Department of Homeland Security,department of homeland security,ORG
367,the Foreign Agricultural Service of the Department of Agriculture,foreign agricultural service of department of agriculture,ORG
368,the Foreign Service,foreign service,ORG
369,the national security agency,national security agency,ORG
370,the New Inclusion Quotient,new inclusion quotient,ORG
371,Presenting Federal Data,presenting federal data,ORG
372,Ethnicity,ethnicity,ORG
373,Senior Executive Service,senior executive service,ORG
374,Mary Jo Lawyer Spano Mesothelioma,mary jo lawyer spano mesothelioma,PERSON
375,mesothelioma data collection and,mesothelioma data collection and,ORG
376,Title III,title iii,PRODUCT
377,mesothelioma data collection,mesothelioma data collection,ORG
378,the Administrator of the Agency,administrator of agency,ORG
379,Toxic Substances and Disease Registry,toxic substances and disease registry,ORG
380,the National Institutes of Health,national institutes of health,ORG
381,the Food and Drug Administration,food and drug administration,ORG
382,the Centers for Medicare & Medicaid Services,centers for medicare & medicaid services,ORG
383,Healthcare Research and Quality,healthcare research and quality,ORG
384,the Department of Veterans Affairs,department of veterans affairs,ORG
385,10 percent,10 percent,PERCENT
386,Beginning in the fifth fiscal year beginning,beginning in fifth fiscal year beginning,WORK_OF_ART
387,3796dd,3796dd,LAW
388,1974,1974,DATE
389,"Travel
 ","travel
 ",ORG
390,Nicaragua,nicaragua,GPE
391,Termination of the Designation of Nicaragua for Temporary Protected Status,termination of designation of nicaragua for temporary protected status,WORK_OF_ART
392,Haiti,haiti,GPE
393,Termination of the Designation of Haiti for Temporary Protected Status,termination of designation of haiti for temporary protected status,WORK_OF_ART
394,El Salvador,el salvador,GPE
395,Termination of the Designation of El Salvador for Temporary Protected Status,termination of designation of el salvador for temporary protected status,WORK_OF_ART
396,the  Missing Children’s Assistance Amendment Act, missing children’s assistance amendment act,ACT
397,the Juvenile Justice and Delinquency Prevention Act,juvenile justice and delinquency prevention act,ACT
398,the Executive Order,executive order,ORG
399,the  Protecting Youth, protecting youth,ORG
400,24 hour,24 hour,TIME
401,"20,000,000","20,000,000",MONEY
402,Title,title,PRODUCT
403,the Office for Victims of Crime,office for victims of crime,ORG
404,the Office of Justice Programs,office of justice programs,ORG
405,Prince Hall Freemasonry,prince hall freemasonry,ORG
406,Chapter 11,chapter 11,LAW
407,Education,education,ORG
408,the Institute of Education Sciences,institute of education sciences,ORG
409,Bias,bias,PERSON
410,Mothers and Offspring Mortality and Morbidity Awareness Act MOMMA’s,mothers and offspring mortality and morbidity awareness act momma’s,ACT
411,Improving Federal,improving federal,ORG
412,the Centers for Disease Control and Prevention,centers for disease control and prevention,ORG
413,the Associate Administrator of the Maternal and Child Health Bureau of the Health Resources and Services Administration,associate administrator of maternal and child health bureau of health resources and services administration,ORG
414,AIM,aim,ORG
415,CHIP,chip,ORG
416,Medicaid,medicaid,ORG
417,the Social Security Act,social security act,ACT
418,the Office of Government Ethics,office of government ethics,ORG
419,Citizens United,citizens united,GPE
420,the Federal Election Commission,federal election commission,ORG
421,Vietnam,vietnam,GPE
422,Veterans Affairs,veterans affairs,ORG
423,the Centers of Disease Control and Prevention of the Department of Health and Human Services,centers of disease control and prevention of department of health and human services,ORG
424,the Veterans Affairs Central Cancer Registry,veterans affairs central cancer registry,ORG
425,the National Program of Cancer Registries,national program of cancer registries,ORG
426,Applicability of Federal law Notwithstanding,applicability of federal law notwithstanding,ORG
427,the  Protecting Newborns, protecting newborns,ORG
428,NAS,nas,ORG
429,CDC,cdc,ORG
430,Programs,programs,ORG
431,Statistics,statistics,ORG
432,the Safe and Drug Free Schools,safe and drug free schools,ORG
433,Risk Factor Paragraph,risk factor paragraph,ORG
434,Bullying,bullying,GPE
435,Federal and State Nondiscrimination Laws Nothing,federal and state nondiscrimination laws nothing,ORG
436,the Elementary and Secondary Education Act,elementary and secondary education act,ACT
437,longer than 4 hours,longer than 4 hours,TIME
438,the Federal Rules of Criminal Procedure,federal rules of criminal procedure,ORG
439,4 hours,4 hours,TIME
440,the  Women Inventor Development and Equality Act, women inventor development and equality act,ACT
441,the  African American Civil Rights Network Act, african american civil rights network act,ACT
442,U.S. Civil Rights Network Program,u.s. civil rights network program,ORG
443,Subdivision 1 of Division B,subdivision 1 of division b,ORG
444,chapter 3083,chapter 3083,LAW
445,U.S. Civil Rights Network,u.s. civil rights network,ORG
446,Service,service,ORG
447,the  U.S. Civil Rights Network, u.s. civil rights network,ORG
448,Network,network,ORG
449,Offense,offense,ORG
450,marijuana programs,marijuana programs,PERSON
451,the Department of Labor,department of labor,ORG
452,the Federal and State,federal and state,ORG
453,the Child Abuse Prevention and Treatment Act,child abuse prevention and treatment act,ACT
454,up to 30 percent,up to 30 percent,PERCENT
455,"the Committee on Health, Education","committee on health, education",ORG
456,Pensions,pensions,NORP
457,the Committee on Education,committee on education,ORG
458,USA Values Act,usa values act,ACT
459,Prohibition No Executive,prohibition no executive,ORG
460,Executive,executive,NORP
461,the  Department of Homeland Security Accountability, department of homeland security accountability,ORG
462,U.S. Customs and Border Protection,u.s. customs and border protection,ORG
463,U.S. Immigration and Customs Enforcement,u.s. immigration and customs enforcement,ORG
464,the Immigration and Nationality Act,immigration and nationality act,ACT
465,the Tariff Act,tariff act,ACT
466,1930,1930,DATE
467,U.S. Customs,u.s. customs,ORG
468,Border Protection,border protection,ORG
469,the Department of Homeland Security’s Office of Inspector General,department of homeland security’s office of inspector general,ORG
470,U.S. Customs and Border Protection’s Office of Professional Responsibility,u.s. customs and border protection’s office of professional responsibility,ORG
471,U.S. Immigration and Customs Enforcement’s Office of Professional Responsibility,u.s. immigration and customs enforcement’s office of professional responsibility,ORG
472,Department of Homeland Security,department of homeland security,ORG
473,CHD,chd,ORG
474,the Health Insurance Portability,health insurance portability,ORG
475,1996,1996,DATE
476,"4,000,000","4,000,000",MONEY
477,Institute,institute,ORG
478,NIH,nih,ORG
479,the  Congenital Heart Futures Reauthorization Act, congenital heart futures reauthorization act,ACT
480,The Department of Education Organization Act,department of education organization act,ACT
481,the Inspector General of,inspector general of,ORG
482,the Department of Education,department of education,ORG
483,the Centers for Disease Control of,centers for disease control of,ORG
484,the National Intimate Partner and Sexual Violence Survey,national intimate partner and sexual violence survey,ORG
485,the National Center for Injury Prevention,national center for injury prevention,ORG
486,LGBTQ,lgbtq,ORG
487,the Education Amendments of,education amendments of,ORG
488,Comptroller General Review,comptroller general review,ORG
489,the Violence Against Women Act of 1994,violence against women act of 1994,ACT
490,the Campus Sexual Violence Task Force,campus sexual violence task force,ORG
491,Task Force,task force,PRODUCT
492,the Securities Exchange Act,securities exchange act,ACT
493,1934,1934,DATE
494,the Genetic Information Nondiscrimination Act,genetic information nondiscrimination act,ACT
495,2008,2008,DATE
496,the Violence Against Women Act,violence against women act,ACT
497,1994,1994,DATE
498,the Age Discrimination in Employment Act of 1967,age discrimination in employment act of 1967,ACT
499,the Rehabilitation Act of 1973,rehabilitation act of 1973,ACT
500,the Commission The Commission,commission commission,ORG
501,Chapter 81,chapter 81,LAW
502,Chapter 85,chapter 85,LAW
503,Federal data collection efforts,federal data collection efforts,ORG
504,the  Concussion Awareness and Education Act, concussion awareness and education act,ACT
505,Vacancies,vacancies,ORG
506,chapter 57,chapter 57,LAW
507,Federal department,federal department,ORG
508,Termination The Commission,termination commission,ORG
509,2024,2024,DATE
510,the  Law Enforcement Inclusion Act, law enforcement inclusion act,ACT
511,2016,2016,DATE
512,the  Office of Biometric Identity Management Authorization Act, office of biometric identity management authorization act,ACT
513,OBIM Authorization Act,obim authorization act,ACT
514,the Office of Biometric Identity Management,office of biometric identity management,ORG
515,Office of Biometric Identity Management,office of biometric identity management,ORG
516,the Management Directorate of the Department,management directorate of department,ORG
517,Biometric Support Centers,biometric support centers,ORG
518,the Department’s Office of  ,department’s office of  ,ORG
519,the Office for Civil Rights and Civil Liberties of the Department,office for civil rights and civil liberties of department,ORG
520,Office,office,ORG
521,the  Computer Science for All Act, computer science for all act,ACT
522,the Bureau of Indian Education,bureau of indian education,ORG
523,the Indian Self Determination and Education Assistance Act,indian self determination and education assistance act,ACT
524,the Tribally Controlled Schools Act,tribally controlled schools act,ACT
525,1988,1988,DATE
526,Historically Black Colleges,historically black colleges,ORG
527,Universities,universities,ORG
528,Asian,asian,NORP
529,Native American Pacific Islander,native american pacific islander,ORG
530,American Indian Tribally,american indian tribally,ORG
531,Native Hawaiian,native hawaiian,NORP
532,Predominantly Black Institutions,predominantly black institutions,ORG
533,Native American,native american,NORP
534,Nontribal,nontribal,PERSON
535,more than 15 percent,more than 15 percent,PERCENT
536,"250,000,000","250,000,000",MONEY
537,Richard B. Russell,richard b. russell,PERSON
538,the  Protecting Older Workers Against Discrimination, protecting older workers against discrimination,ORG
539,Act of,act of,ACT
540,I.,i.,ORG
541,1973,1973,DATE
542,"Federal
 ","federal
 ",ORG
543,"Discriminatory
 ","discriminatory
 ",PERSON
544,Black Maternal Health Week,black maternal health week,ORG
545,ALTO Act,alto act,ACT
546,the National Center for Complimentary,national center for complimentary,ORG
547,Integrative Health,integrative health,ORG
548,Department of Veterans Affairs,department of veterans affairs,ORG
549,Canada,canada,GPE
550,Mexico,mexico,GPE
551,Issuance Each Federal,issuance each federal,ORG
552,Valid,valid,NORP
553,less than 20 percent,less than 20 percent,PERCENT
554,Rural School Achievement Program,rural school achievement program,ORG
555,Demonstrating,demonstrating,GPE
556,the Armed Forces of the United States,armed forces of united states,ORG
557,the Educator Preparation Reform Act,educator preparation reform act,ACT
558,the State Nothing,state nothing,EVENT
559,the  Ending Maternal Mortality Act, ending maternal mortality act,ACT
560,the  VA Personnel Equity Act, va personnel equity act,ACT
561,Chapter 7,chapter 7,LAW
562,"the Veterans Health
 Administration","veterans health
 administration",ORG
563,the Department of Veterans Affairs Accountability,department of veterans affairs accountability,ORG
564,all Transportation Security Officers,all transportation security officers,ORG
565,"the Committee on Commerce, Science","committee on commerce, science",ORG
566,2010,2010,DATE
567,the  Original Black History Month Resolution, original black history month resolution,ORG
568,Black History Month,black history month,PERSON
569,"the Family and Youth Services Bureau of the Administration on Children, Youth","family and youth services bureau of administration on children, youth",ORG
570,Families of the Department of Health and Human Services,families of department of health and human services,ORG
571,the Office of Adolescent Health,office of adolescent health,ORG
572,the Division of Adolescent and School Health,division of adolescent and school health,ORG
573,Nondiscrimination Programs,nondiscrimination programs,ORG
574,Limitation No Federal,limitation no federal,ORG
575,Gender,gender,ORG
576,3 percent,3 percent,PERCENT
577,710,710,PRODUCT
578,Home CARE Act,home care act,ACT
579,the Administrator of the Administration for Community Living,administrator of administration for community living,ORG
580,Optional,optional,ORG
581,Ellie Helton,ellie helton,PERSON
582,Lisa Colagrossi,lisa colagrossi,PERSON
583,Anne Lawrence,anne lawrence,PERSON
584,Jennifer Sedney Focused,jennifer sedney focused,PERSON
585,the National Institute of Neurological Disorders,national institute of neurological disorders,ORG
586,Background,background,GPE
587,Person,person,GPE
588,the Fraud Detection,fraud detection,ORG
589,National Security Directorate,national security directorate,ORG
590,Interviews to Protect Refugees and Prevent Fraud,interviews to protect refugees and prevent fraud,ORG
591,the U.S. Citizenship and Immigration Services,u.s. citizenship and immigration services,ORG
592,State Department,state department,ORG
593,DHS,dhs,ORG
594,U.S. Refugee Admissions Program,u.s. refugee admissions program,ORG
595,the  Desert Community Lands Act, desert community lands act,ACT
596,Town,town,WORK_OF_ART
597,"approximately 4,630 acres","approximately 4,630 acres",QUANTITY
598,Apple Valley Apple Valley Off Highway Vehicle Recreation Area,apple valley apple valley off highway vehicle recreation area,ORG
599,the Recreation and Public Purposes Act,recreation and public purposes act,ACT
600,the State of California,state of california,ORG
601,the Apple Valley Off Highway Vehicle Recreation Area,apple valley off highway vehicle recreation area,ORG
602,Twentynine Palms,twentynine palms,ORG
603,California,california,GPE
604,Barstow,barstow,GPE
605,the City of Barstow,city of barstow,GPE
606,Victorville,victorville,GPE
607,the City of,city of,GPE
608,the American Academy of Pediatric Dentistry,american academy of pediatric dentistry,ORG
609,the American College of Obstetricians,american college of obstetricians,ORG
610,the Children's Health Insurance Program,childrens health insurance program,ORG
611,FMAP,fmap,GPE
612,90 percent,90 percent,PERCENT
613,the Child Nutrition Act of 1966,child nutrition act of 1966,ACT
614,Postpartum,postpartum,NORP
615,$24.78 $49.56,$24.78 $49.56,MONEY
616,$2.8311 cents,$2.8311 cents,MONEY
617,49.56,49.56,MONEY
618,100.66,100.66,MONEY
619,Paragraph,paragraph,PERSON
620,52.75 percent,52.75 percent,PERCENT
621,less than,less than,MONEY
622,10.066 cents,10.066 cents,MONEY
623,the Family Smoking Prevention and Tobacco Control,family smoking prevention and tobacco control,ORG
624,105.69,105.69,MONEY
625,211.38,211.38,MONEY
626,0.01,0.01,MONEY
627,500,500,MONEY
628,the Foreign Trade Zone Act,foreign trade zone act,ACT
629,the United States Customs and Border Protection of the Department of Homeland Security,united states customs and border protection of department of homeland security,ORG
630,the  Suicide Prevention Analytics Act, suicide prevention analytics act,ACT
631,Self Harm Behaviors and,self harm behaviors and,ORG
632,Suicidal Ideation Program,suicidal ideation program,ORG
633,the Syndromic Surveillance of Self Harm Behaviors and,syndromic surveillance of self harm behaviors and,ORG
634,HHS Subject,hhs subject,ORG
