billid,date,Column2,billstage,chambername,legistype
2,3-Jan-2017,,Introduced,Senate,A BILL
8,3-Jan-2017,,Introduced,House,A BILL
56,3-Jan-2017,,Introduced,House,A BILL
89,3-Jan-2017,,Resolved,,RESOLUTION
100,3-Jan-2017,,Resolved,,RESOLUTION
310,3-Jan-2017,,Reported,House,A BILL
409,3-Jan-2017,,Introduced,House,A BILL
459,3-Jan-2017,,Introduced,Senate,A BILL
552,3-Jan-2017,,Introduced,Senate,A BILL
2,3-Jan-2017,,Introduced,Senate,A BILL
8,3-Jan-2017,,Introduced,House,A BILL
56,3-Jan-2017,,Introduced,House,A BILL
89,3-Jan-2017,,Resolved,,RESOLUTION
100,3-Jan-2017,,Resolved,,RESOLUTION
310,3-Jan-2017,,Reported,House,A BILL
409,3-Jan-2017,,Introduced,House,A BILL
459,3-Jan-2017,,Introduced,Senate,A BILL
552,3-Jan-2017,,Introduced,Senate,A BILL
142,4-Jan-2017,,Introduced,Senate,A BILL
551,4-Jan-2017,,Introduced,House,A BILL
142,4-Jan-2017,,Introduced,Senate,A BILL
551,4-Jan-2017,,Introduced,House,A BILL
6,5-Jan-2017,,Introduced,House,A BILL
167,5-Jan-2017,,Referred,Senate,AN ACT
6,5-Jan-2017,,Introduced,House,A BILL
167,5-Jan-2017,,Referred,Senate,AN ACT
454,6-Jan-2017,,Introduced,House,A BILL
454,6-Jan-2017,,Introduced,House,A BILL
158,10-Jan-2017,,Introduced,Senate,A BILL
339,10-Jan-2017,,Introduced,Senate,A BILL
158,10-Jan-2017,,Introduced,Senate,A BILL
339,10-Jan-2017,,Introduced,Senate,A BILL
323,12-Jan-2017,,Introduced,House,A BILL
359,12-Jan-2017,,Introduced,House,A BILL
323,12-Jan-2017,,Introduced,House,A BILL
359,12-Jan-2017,,Introduced,House,A BILL
215,13-Jan-2017,,Resolved,,CONCURRENT RESOLUTION
255,13-Jan-2017,,Referred,House,AN ACT
394,13-Jan-2017,,Introduced,House,A BILL
215,13-Jan-2017,,Resolved,,CONCURRENT RESOLUTION
255,13-Jan-2017,,Referred,House,AN ACT
394,13-Jan-2017,,Introduced,House,A BILL
248,17-Jan-2017,,Introduced,House,A BILL
380,17-Jan-2017,,Introduced,Senate,A BILL
500,17-Jan-2017,,Introduced,Senate,A BILL
248,17-Jan-2017,,Introduced,House,A BILL
380,17-Jan-2017,,Introduced,Senate,A BILL
500,17-Jan-2017,,Introduced,Senate,A BILL
379,23-Jan-2017,,Introduced,Senate,A BILL
379,23-Jan-2017,,Introduced,Senate,A BILL
28,24-Jan-2017,,Introduced,House,A BILL
97,24-Jan-2017,,Resolved,,RESOLUTION
210,24-Jan-2017,,Reported,House,A BILL
251,24-Jan-2017,,Introduced,House,A BILL
254,24-Jan-2017,,Introduced,House,A BILL
260,24-Jan-2017,,Engrossed,Senate,AN ACT
358,24-Jan-2017,,Introduced,House,A BILL
28,24-Jan-2017,,Introduced,House,A BILL
97,24-Jan-2017,,Resolved,,RESOLUTION
210,24-Jan-2017,,Reported,House,A BILL
251,24-Jan-2017,,Introduced,House,A BILL
254,24-Jan-2017,,Introduced,House,A BILL
260,24-Jan-2017,,Engrossed,Senate,AN ACT
358,24-Jan-2017,,Introduced,House,A BILL
57,27-Jan-2017,,Introduced,House,A BILL
437,27-Jan-2017,,Introduced,Senate,A BILL
449,27-Jan-2017,,Introduced,Senate,A BILL
57,27-Jan-2017,,Introduced,House,A BILL
437,27-Jan-2017,,Introduced,Senate,A BILL
449,27-Jan-2017,,Introduced,Senate,A BILL
80,30-Jan-2017,,Introduced,House,A BILL
118,30-Jan-2017,,Introduced,House,A BILL
80,30-Jan-2017,,Introduced,House,A BILL
118,30-Jan-2017,,Introduced,House,A BILL
146,1-Feb-2017,,Introduced,Senate,A BILL
179,1-Feb-2017,,Resolved,,RESOLUTION
253,1-Feb-2017,,Introduced,Senate,A BILL
307,1-Feb-2017,,Introduced,Senate,A BILL
146,1-Feb-2017,,Introduced,Senate,A BILL
179,1-Feb-2017,,Resolved,,RESOLUTION
253,1-Feb-2017,,Introduced,Senate,A BILL
307,1-Feb-2017,,Introduced,Senate,A BILL
446,2-Feb-2017,,Introduced,Senate,A BILL
469,2-Feb-2017,,Introduced,Senate,A BILL
470,2-Feb-2017,,Introduced,House,A BILL
446,2-Feb-2017,,Introduced,Senate,A BILL
469,2-Feb-2017,,Introduced,Senate,A BILL
470,2-Feb-2017,,Introduced,House,A BILL
198,3-Feb-2017,,Introduced,House,A BILL
207,3-Feb-2017,,Introduced,House,A BILL
198,3-Feb-2017,,Introduced,House,A BILL
207,3-Feb-2017,,Introduced,House,A BILL
110,6-Feb-2017,,Resolved,,RESOLUTION
378,6-Feb-2017,,Introduced,Senate,A BILL
110,6-Feb-2017,,Resolved,,RESOLUTION
378,6-Feb-2017,,Introduced,Senate,A BILL
249,7-Feb-2017,,Resolved,,RESOLUTION
267,7-Feb-2017,,Introduced,House,A BILL
403,7-Feb-2017,,Introduced,Senate,A BILL
511,7-Feb-2017,,Introduced,House,A BILL
249,7-Feb-2017,,Resolved,,RESOLUTION
267,7-Feb-2017,,Introduced,House,A BILL
403,7-Feb-2017,,Introduced,Senate,A BILL
511,7-Feb-2017,,Introduced,House,A BILL
512,9-Feb-2017,,Placed_on_Calendar ,Calendar,A BILL
512,9-Feb-2017,,Placed_on_Calendar ,Calendar,A BILL
198,10-Feb-2017,,Introduced,House,A BILL
198,10-Feb-2017,,Introduced,House,A BILL
357,13-Feb-2017,,Introduced,House,A BILL
357,13-Feb-2017,,Introduced,House,A BILL
126,15-Feb-2017,,Resolved,,RESOLUTION
197,15-Feb-2017,,Resolved,,RESOLUTION
484,15-Feb-2017,,Introduced,House,A BILL
126,15-Feb-2017,,Resolved,,RESOLUTION
197,15-Feb-2017,,Resolved,,RESOLUTION
484,15-Feb-2017,,Introduced,House,A BILL
20,16-Feb-2017,,Introduced,Senate,A BILL
174,16-Feb-2017,,Resolved,,RESOLUTION
209,16-Feb-2017,,Introduced,House,A BILL
217,16-Feb-2017,,Introduced,House,A BILL
306,16-Feb-2017,,Introduced,House,A BILL
495,16-Feb-2017,,Reported,House,A BILL
497,16-Feb-2017,,Introduced,Senate,A BILL
20,16-Feb-2017,,Introduced,Senate,A BILL
174,16-Feb-2017,,Resolved,,RESOLUTION
209,16-Feb-2017,,Introduced,House,A BILL
217,16-Feb-2017,,Introduced,House,A BILL
306,16-Feb-2017,,Introduced,House,A BILL
495,16-Feb-2017,,Reported,House,A BILL
497,16-Feb-2017,,Introduced,Senate,A BILL
5,27-Feb-2017,,Introduced,Senate,A BILL
7,27-Feb-2017,,Introduced,House,A BILL
14,27-Feb-2017,,Referred,House,AN ACT
154,27-Feb-2017,,Resolved,,JOINT RESOLUTION
220,27-Feb-2017,,Introduced,House,A BILL
229,27-Feb-2017,,Reported,House,A BILL
230,27-Feb-2017,,Introduced,House,A BILL
236,27-Feb-2017,,Introduced,Senate,A BILL
5,27-Feb-2017,,Introduced,Senate,A BILL
7,27-Feb-2017,,Introduced,House,A BILL
14,27-Feb-2017,,Referred,House,AN ACT
154,27-Feb-2017,,Resolved,,JOINT RESOLUTION
220,27-Feb-2017,,Introduced,House,A BILL
229,27-Feb-2017,,Reported,House,A BILL
230,27-Feb-2017,,Introduced,House,A BILL
236,27-Feb-2017,,Introduced,Senate,A BILL
137,28-Feb-2017,,Resolved,,RESOLUTION
139,28-Feb-2017,,Resolved,,RESOLUTION
237,28-Feb-2017,,Introduced,Senate,A BILL
137,28-Feb-2017,,Resolved,,RESOLUTION
139,28-Feb-2017,,Resolved,,RESOLUTION
237,28-Feb-2017,,Introduced,Senate,A BILL
184,1-Mar-2017,,Resolved,,RESOLUTION
184,1-Mar-2017,,Resolved,,RESOLUTION
327,2-Mar-2017,,Introduced,House,A BILL
438,2-Mar-2017,,Introduced,House,A BILL
327,2-Mar-2017,,Introduced,House,A BILL
438,2-Mar-2017,,Introduced,House,A BILL
84,7-Mar-2017,,Introduced,Senate,A BILL
163,7-Mar-2017,,Introduced,House,A BILL
245,7-Mar-2017,,Engrossed,House,AN ACT
271,7-Mar-2017,,Introduced,House,A BILL
84,7-Mar-2017,,Introduced,Senate,A BILL
163,7-Mar-2017,,Introduced,House,A BILL
245,7-Mar-2017,,Engrossed,House,AN ACT
271,7-Mar-2017,,Introduced,House,A BILL
29,9-Mar-2017,,Introduced,House,A BILL
458,9-Mar-2017,,Introduced,House,A BILL
29,9-Mar-2017,,Introduced,House,A BILL
458,9-Mar-2017,,Introduced,House,A BILL
196,10-Mar-2017,,Resolved,,CONCURRENT RESOLUTION
395,10-Mar-2017,,Engrossed,House,AN ACT
196,10-Mar-2017,,Resolved,,CONCURRENT RESOLUTION
395,10-Mar-2017,,Engrossed,House,AN ACT
377,13-Mar-2017,,Introduced,House,A BILL
377,13-Mar-2017,,Introduced,House,A BILL
25,15-Mar-2017,,Resolved,,RESOLUTION
186,15-Mar-2017,,Introduced,House,A BILL
266,15-Mar-2017,,Introduced,House,A BILL
285,15-Mar-2017,,Introduced,Senate,A BILL
366,15-Mar-2017,,Introduced,House,A BILL
503,15-Mar-2017,,Introduced,Senate,A BILL
25,15-Mar-2017,,Resolved,,RESOLUTION
186,15-Mar-2017,,Introduced,House,A BILL
266,15-Mar-2017,,Introduced,House,A BILL
285,15-Mar-2017,,Introduced,Senate,A BILL
366,15-Mar-2017,,Introduced,House,A BILL
503,15-Mar-2017,,Introduced,Senate,A BILL
23,16-Mar-2017,,Introduced,Senate,A BILL
64,16-Mar-2017,,Resolved,,RESOLUTION
75,16-Mar-2017,,Introduced,Senate,A BILL
95,16-Mar-2017,,Resolved,,RESOLUTION
326,16-Mar-2017,,Introduced,House,A BILL
23,16-Mar-2017,,Introduced,Senate,A BILL
64,16-Mar-2017,,Resolved,,RESOLUTION
75,16-Mar-2017,,Introduced,Senate,A BILL
95,16-Mar-2017,,Resolved,,RESOLUTION
326,16-Mar-2017,,Introduced,House,A BILL
436,20-Mar-2017,,Introduced,House,A BILL
436,20-Mar-2017,,Introduced,House,A BILL
61,21-Mar-2017,,Resolved,,RESOLUTION
204,21-Mar-2017,,Introduced,Senate,A BILL
399,21-Mar-2017,,Reported,Senate,A BILL
404,21-Mar-2017,,Introduced,Senate,A BILL
61,21-Mar-2017,,Resolved,,RESOLUTION
204,21-Mar-2017,,Introduced,Senate,A BILL
399,21-Mar-2017,,Reported,Senate,A BILL
404,21-Mar-2017,,Introduced,Senate,A BILL
407,22-Mar-2017,,Introduced,House,A BILL
407,22-Mar-2017,,Introduced,House,A BILL
282,28-Mar-2017,,Introduced,House,A BILL
417,28-Mar-2017,,Introduced,House,A BILL
540,28-Mar-2017,,Reported,House,A BILL
282,28-Mar-2017,,Introduced,House,A BILL
417,28-Mar-2017,,Introduced,House,A BILL
540,28-Mar-2017,,Reported,House,A BILL
234,29-Mar-2017,,Introduced,House,A BILL
387,29-Mar-2017,,Introduced,Senate,A BILL
388,29-Mar-2017,,Introduced,House,A BILL
539,29-Mar-2017,,Introduced,House,A BILL
234,29-Mar-2017,,Introduced,House,A BILL
387,29-Mar-2017,,Introduced,Senate,A BILL
388,29-Mar-2017,,Introduced,House,A BILL
539,29-Mar-2017,,Introduced,House,A BILL
295,30-Mar-2017,,Introduced,House,A BILL
493,30-Mar-2017,,Engrossed,House,AN ACT
496,30-Mar-2017,,Introduced,House,A BILL
295,30-Mar-2017,,Introduced,House,A BILL
493,30-Mar-2017,,Engrossed,House,AN ACT
496,30-Mar-2017,,Introduced,House,A BILL
240,3-Apr-2017,,Resolved,,RESOLUTION
240,3-Apr-2017,,Resolved,,RESOLUTION
213,4-Apr-2017,,Resolved,,RESOLUTION
362,4-Apr-2017,,Introduced,House,A BILL
439,4-Apr-2017,,Introduced,Senate,A BILL
440,4-Apr-2017,,Introduced,House,A BILL
451,4-Apr-2017,,Introduced,Senate,A BILL
455,4-Apr-2017,,Introduced,House,A BILL
213,4-Apr-2017,,Resolved,,RESOLUTION
362,4-Apr-2017,,Introduced,House,A BILL
439,4-Apr-2017,,Introduced,Senate,A BILL
440,4-Apr-2017,,Introduced,House,A BILL
451,4-Apr-2017,,Introduced,Senate,A BILL
455,4-Apr-2017,,Introduced,House,A BILL
67,5-Apr-2017,,Resolved,,RESOLUTION
87,5-Apr-2017,,Introduced,House,A BILL
108,5-Apr-2017,,Resolved,,RESOLUTION
272,5-Apr-2017,,Introduced,Senate,A BILL
334,5-Apr-2017,,Introduced,Senate,A BILL
371,5-Apr-2017,,Introduced,Senate,A BILL
376,5-Apr-2017,,Introduced,House,A BILL
456,5-Apr-2017,,Enrolled,,AN ACT
67,5-Apr-2017,,Resolved,,RESOLUTION
87,5-Apr-2017,,Introduced,House,A BILL
108,5-Apr-2017,,Resolved,,RESOLUTION
272,5-Apr-2017,,Introduced,Senate,A BILL
334,5-Apr-2017,,Introduced,Senate,A BILL
371,5-Apr-2017,,Introduced,Senate,A BILL
376,5-Apr-2017,,Introduced,House,A BILL
456,5-Apr-2017,,Enrolled,,AN ACT
46,6-Apr-2017,,Resolved,,RESOLUTION
64,6-Apr-2017,,Resolved,,RESOLUTION
64,6-Apr-2017,,Resolved,,RESOLUTION
64,6-Apr-2017,,Resolved,,RESOLUTION
155,6-Apr-2017,,Resolved,,RESOLUTION
46,6-Apr-2017,,Resolved,,RESOLUTION
64,6-Apr-2017,,Resolved,,RESOLUTION
64,6-Apr-2017,,Resolved,,RESOLUTION
64,6-Apr-2017,,Resolved,,RESOLUTION
155,6-Apr-2017,,Resolved,,RESOLUTION
131,7-Apr-2017,,Resolved,,RESOLUTION
132,7-Apr-2017,,Resolved,,RESOLUTION
180,7-Apr-2017,,Resolved,,RESOLUTION
181,7-Apr-2017,,Introduced,Senate,A BILL
131,7-Apr-2017,,Resolved,,RESOLUTION
132,7-Apr-2017,,Resolved,,RESOLUTION
180,7-Apr-2017,,Resolved,,RESOLUTION
181,7-Apr-2017,,Introduced,Senate,A BILL
4,14-Apr-2017,,Introduced,Senate,A BILL
82,14-Apr-2017,,Introduced,Senate,A BILL
4,14-Apr-2017,,Introduced,Senate,A BILL
82,14-Apr-2017,,Introduced,Senate,A BILL
85,24-Apr-2017,,Resolved,,RESOLUTION
85,24-Apr-2017,,Resolved,,RESOLUTION
131,25-Apr-2017,,Resolved,,RESOLUTION
181,25-Apr-2017,,Introduced,Senate,A BILL
131,25-Apr-2017,,Resolved,,RESOLUTION
181,25-Apr-2017,,Introduced,Senate,A BILL
279,26-Apr-2017,,Introduced,Senate,A BILL
315,26-Apr-2017,,Introduced,Senate,A BILL
279,26-Apr-2017,,Introduced,Senate,A BILL
315,26-Apr-2017,,Introduced,Senate,A BILL
12,27-Apr-2017,,Resolved,,RESOLUTION
116,27-Apr-2017,,Introduced,Senate,A BILL
316,27-Apr-2017,,Introduced,Senate,A BILL
583,27-Apr-2017,,Introduced,Senate,A BILL
12,27-Apr-2017,,Resolved,,RESOLUTION
116,27-Apr-2017,,Introduced,Senate,A BILL
316,27-Apr-2017,,Introduced,Senate,A BILL
583,27-Apr-2017,,Introduced,Senate,A BILL
130,28-Apr-2017,,Resolved,,RESOLUTION
130,28-Apr-2017,,Resolved,,RESOLUTION
317,1-May-2017,,Introduced,House,A BILL
317,1-May-2017,,Introduced,House,A BILL
22,2-May-2017,,Introduced,House,A BILL
24,2-May-2017,,Introduced,Senate,A BILL
22,2-May-2017,,Introduced,House,A BILL
24,2-May-2017,,Introduced,Senate,A BILL
269,3-May-2017,,Introduced,House,A BILL
420,3-May-2017,,Introduced,Senate,A BILL
269,3-May-2017,,Introduced,House,A BILL
420,3-May-2017,,Introduced,Senate,A BILL
135,4-May-2017,,Resolved,,RESOLUTION
192,4-May-2017,,Introduced,Senate,A BILL
211,4-May-2017,,Introduced,House,A BILL
286,4-May-2017,,Resolved,,RESOLUTION
296,4-May-2017,,Introduced,Senate,A BILL
496,4-May-2017,,Introduced,House,A BILL
496,4-May-2017,,Introduced,House,A BILL
496,4-May-2017,,Introduced,House,A BILL
135,4-May-2017,,Resolved,,RESOLUTION
192,4-May-2017,,Introduced,Senate,A BILL
211,4-May-2017,,Introduced,House,A BILL
286,4-May-2017,,Resolved,,RESOLUTION
296,4-May-2017,,Introduced,Senate,A BILL
496,4-May-2017,,Introduced,House,A BILL
496,4-May-2017,,Introduced,House,A BILL
496,4-May-2017,,Introduced,House,A BILL
335,11-May-2017,,Introduced,House,A BILL
400,11-May-2017,,Reported,Senate,A BILL
335,11-May-2017,,Introduced,House,A BILL
400,11-May-2017,,Reported,Senate,A BILL
412,15-May-2017,,Referred,Senate,AN ACT
412,15-May-2017,,Referred,Senate,AN ACT
425,16-May-2017,,Referred,House,AN ACT
425,16-May-2017,,Referred,House,AN ACT
32,17-May-2017,,Introduced,House,A BILL
33,17-May-2017,,Introduced,House,A BILL
171,17-May-2017,,Resolved,,RESOLUTION
442,17-May-2017,,Introduced,House,A BILL
32,17-May-2017,,Introduced,House,A BILL
33,17-May-2017,,Introduced,House,A BILL
171,17-May-2017,,Resolved,,RESOLUTION
442,17-May-2017,,Introduced,House,A BILL
66,18-May-2017,,Introduced,House,A BILL
397,18-May-2017,,Introduced,Senate,A BILL
537,18-May-2017,,Introduced,Senate,A BILL
66,18-May-2017,,Introduced,House,A BILL
397,18-May-2017,,Introduced,Senate,A BILL
537,18-May-2017,,Introduced,Senate,A BILL
148,22-May-2017,,Introduced,House,A BILL
148,22-May-2017,,Introduced,House,A BILL
355,24-May-2017,,Introduced,Senate,A BILL
491,24-May-2017,,Placed_on_Calendar ,Calendar,AN ACT
492,24-May-2017,,Introduced,House,A BILL
355,24-May-2017,,Introduced,Senate,A BILL
491,24-May-2017,,Placed_on_Calendar ,Calendar,AN ACT
492,24-May-2017,,Introduced,House,A BILL
153,25-May-2017,,Introduced,Senate,A BILL
303,25-May-2017,,Referred,Senate,AN ACT
312,25-May-2017,,Introduced,House,A BILL
313,25-May-2017,,Introduced,House,A BILL
320,25-May-2017,,Introduced,Senate,A BILL
322,25-May-2017,,Introduced,Senate,A BILL
361,25-May-2017,,Resolved,,RESOLUTION
153,25-May-2017,,Introduced,Senate,A BILL
303,25-May-2017,,Referred,Senate,AN ACT
312,25-May-2017,,Introduced,House,A BILL
313,25-May-2017,,Introduced,House,A BILL
320,25-May-2017,,Introduced,Senate,A BILL
322,25-May-2017,,Introduced,Senate,A BILL
361,25-May-2017,,Resolved,,RESOLUTION
435,26-May-2017,,Introduced,House,A BILL
435,26-May-2017,,Introduced,House,A BILL
332,7-Jun-2017,,Resolved,,RESOLUTION
401,7-Jun-2017,,Introduced,House,A BILL
588,7-Jun-2017,,Placed_on_Calendar ,Calendar,AN ACT
332,7-Jun-2017,,Resolved,,RESOLUTION
401,7-Jun-2017,,Introduced,House,A BILL
588,7-Jun-2017,,Placed_on_Calendar ,Calendar,AN ACT
31,8-Jun-2017,,Introduced,Senate,A BILL
189,8-Jun-2017,,Introduced,Senate,A BILL
232,8-Jun-2017,,Introduced,House,A BILL
235,8-Jun-2017,,Resolved,,RESOLUTION
354,8-Jun-2017,,Referred,Senate,AN ACT
592,8-Jun-2017,,Enrolled,,AN ACT
31,8-Jun-2017,,Introduced,Senate,A BILL
189,8-Jun-2017,,Introduced,Senate,A BILL
232,8-Jun-2017,,Introduced,House,A BILL
235,8-Jun-2017,,Resolved,,RESOLUTION
354,8-Jun-2017,,Referred,Senate,AN ACT
592,8-Jun-2017,,Enrolled,,AN ACT
54,12-Jun-2017,,Introduced,House,A BILL
54,12-Jun-2017,,Introduced,House,A BILL
124,15-Jun-2017,,Introduced,House,A BILL
124,15-Jun-2017,,Introduced,House,A BILL
367,20-Jun-2017,,Introduced,House,A BILL
453,20-Jun-2017,,Introduced,House,A BILL
367,20-Jun-2017,,Introduced,House,A BILL
453,20-Jun-2017,,Introduced,House,A BILL
39,21-Jun-2017,,Resolved,,CONCURRENT RESOLUTION
39,21-Jun-2017,,Resolved,,CONCURRENT RESOLUTION
38,22-Jun-2017,,Introduced,House,A BILL
441,22-Jun-2017,,Introduced,House,A BILL
445,22-Jun-2017,,Reported,Senate,A BILL
550,22-Jun-2017,,Introduced,House,A BILL
557,22-Jun-2017,,Engrossed,House,AN ACT
576,22-Jun-2017,,Engrossed,House,AN ACT
584,22-Jun-2017,,Introduced,Senate,A BILL
38,22-Jun-2017,,Introduced,House,A BILL
441,22-Jun-2017,,Introduced,House,A BILL
445,22-Jun-2017,,Reported,Senate,A BILL
550,22-Jun-2017,,Introduced,House,A BILL
557,22-Jun-2017,,Engrossed,House,AN ACT
576,22-Jun-2017,,Engrossed,House,AN ACT
584,22-Jun-2017,,Introduced,Senate,A BILL
499,23-Jun-2017,,Introduced,Senate,A BILL
499,23-Jun-2017,,Introduced,Senate,A BILL
161,26-Jun-2017,,Resolved,,RESOLUTION
498,26-Jun-2017,,Introduced,House,A BILL
533,26-Jun-2017,,Engrossed,Senate,AN ACT
161,26-Jun-2017,,Resolved,,RESOLUTION
498,26-Jun-2017,,Introduced,House,A BILL
533,26-Jun-2017,,Engrossed,Senate,AN ACT
399,28-Jun-2017,,Reported,Senate,A BILL
399,28-Jun-2017,,Reported,Senate,A BILL
592,28-Jun-2017,,Enrolled,,AN ACT
592,28-Jun-2017,,Enrolled,,AN ACT
592,28-Jun-2017,,Enrolled,,AN ACT
399,28-Jun-2017,,Reported,Senate,A BILL
399,28-Jun-2017,,Reported,Senate,A BILL
592,28-Jun-2017,,Enrolled,,AN ACT
592,28-Jun-2017,,Enrolled,,AN ACT
592,28-Jun-2017,,Enrolled,,AN ACT
128,29-Jun-2017,,Introduced,House,A BILL
138,29-Jun-2017,,Resolved,,RESOLUTION
140,29-Jun-2017,,Enrolled,,AN ACT
241,29-Jun-2017,,Introduced,House,A BILL
242,29-Jun-2017,,Resolved,,RESOLUTION
349,29-Jun-2017,,Introduced,Senate,A BILL
547,29-Jun-2017,,Introduced,House,A BILL
128,29-Jun-2017,,Introduced,House,A BILL
138,29-Jun-2017,,Resolved,,RESOLUTION
140,29-Jun-2017,,Enrolled,,AN ACT
