,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername
396,112,Maxine,Waters,California,Co,383,,
397,112,,Sewell,Alabama,Co,172,,
398,112,,Kelly,Illinois,Co,177,,
399,112,Al,Green,Texas,Co,132,,
400,112,Al,Green,Texas,Co,128,,
401,112,,Thompson,Mississippi,Co,155,,
402,115,,Curbelo,Florida,Co,45,,
403,115,,Young,Alaska,Co,77,,
404,124,,Johnson,Georgia,Co,0,INTRODUCED,Representative
405,124,,Bishop,Georgia,Co,9,INTRODUCED,Representative
406,124,,Sewell,Alabama,Co,172,INTRODUCED,Representative
407,124,,Thompson,Mississippi,Co,155,INTRODUCED,Representative
408,124,,Price,North Carolina,Co,288,INTRODUCED,Representative
409,124,,Higgins,New York,Co,290,INTRODUCED,Representative
410,124,,Lawson,Florida,Co,249,INTRODUCED,Representative
411,124,,Clarke,New York,Co,330,INTRODUCED,Representative
412,124,Danny K,Davis,Illinois,Co,187,INTRODUCED,Representative
413,124,Danny K,Davis,Illinois,Co,158,INTRODUCED,Representative
414,124,David,Scott,Georgia,Co,230,INTRODUCED,Representative
415,124,David,Scott,Georgia,Co,216,INTRODUCED,Representative
416,124,,Wilson,Florida,Co,278,INTRODUCED,Representative
417,124,,Kelly,Illinois,Co,177,INTRODUCED,Representative
418,124,Al,Green,Texas,Co,132,INTRODUCED,Representative
419,124,Al,Green,Texas,Co,128,INTRODUCED,Representative
420,125,,Poe,Texas,Co,129,,
421,125,,Kuster,New Hampshire,Co,345,,
422,135,,Kelly,Illinois,Co,177,,
423,135,,Sewell,Alabama,Co,172,,
424,135,,Bishop,Georgia,Co,9,,
425,135,,Brady,Pennsylvania,Co,316,,
426,135,,Swalwell,California,Co,361,,
427,140,,Murphy,Pennsylvania,Primary,275,ENROLLED,Representative
428,140,,Johnson,Georgia,Co,0,ENROLLED,Representative
429,140,,Smith,Washington,Co,357,ENROLLED,Representative
430,140,,Costello,Pennsylvania,Co,308,ENROLLED,Representative
431,140,Rodney,Davis,Illinois,Co,187,ENROLLED,Representative
432,140,Rodney,Davis,Illinois,Co,158,ENROLLED,Representative
433,140,,Frankel,Florida,Co,279,ENROLLED,Representative
434,140,,Frankel,Florida,Co,277,ENROLLED,Representative
435,140,,Young,Alaska,Co,77,ENROLLED,Representative
436,140,Thomas J,Rooney,Florida,Co,248,ENROLLED,Representative
437,140,Thomas J,Rooney,Florida,Co,43,ENROLLED,Representative
438,140,,King,New York,Co,336,ENROLLED,Representative
439,140,Mimi,Walters,California,Co,394,ENROLLED,Representative
440,142,,Lewis,Georgia,Primary,221,INTRODUCED,Senator
441,148,Judy,Chu,California,Co,388,INTRODUCED,Representative
442,148,,Clark,Massachusetts,Co,347,INTRODUCED,Representative
443,148,,Kelly,Illinois,Co,177,INTRODUCED,Representative
444,148,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Representative
445,148,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Representative
446,149,,Lawson,Florida,Co,249,,
447,149,Judy,Chu,California,Co,388,,
448,149,,Clarke,New York,Co,330,,
449,151,Brendan F,Boyle,Pennsylvania,Primary,315,,
450,152,,Johnson,Georgia,Primary,0,INTRODUCED,Representative
451,152,,Lewis,Georgia,Co,221,INTRODUCED,Representative
452,152,,Clarke,New York,Co,330,INTRODUCED,Representative
453,152,,Wilson,Florida,Co,278,INTRODUCED,Representative
454,152,David,Scott,Georgia,Co,230,INTRODUCED,Representative
455,152,David,Scott,Georgia,Co,216,INTRODUCED,Representative
456,153,,Scott,Virginia,Primary,52,INTRODUCED,Senator
457,153,,Young,Iowa,Co,125,INTRODUCED,Senator
458,156,,Clarke,New York,Co,330,REFERRED,Senator
459,156,,Kelly,Illinois,Co,177,REFERRED,Senator
460,156,,Ryan,Ohio,Co,262,REFERRED,Senator
461,156,,Carson,Indiana,Co,202,REFERRED,Senator
462,156,,Castor,Florida,Co,42,REFERRED,Senator
463,156,,Wilson,Florida,Co,278,REFERRED,Senator
464,156,,Johnson,Georgia,Co,0,REFERRED,Senator
465,156,,Thompson,Mississippi,Co,155,REFERRED,Senator
466,156,David,Scott,Georgia,Co,230,REFERRED,Senator
467,156,David,Scott,Georgia,Co,216,REFERRED,Senator
468,156,Ted,Lieu,California,Co,378,REFERRED,Senator
469,156,,Lewis,Georgia,Co,221,REFERRED,Senator
470,156,Eddie B,Johnson,Texas,Co,117,REFERRED,Senator
471,156,Eddie B,Johnson,Texas,Co,113,REFERRED,Senator
472,156,,Brown,Maryland,Co,304,REFERRED,Senator
473,156,,Lawson,Florida,Co,249,REFERRED,Senator
474,156,Sean P,Maloney,New York,Co,329,REFERRED,Senator
475,156,Sean P,Maloney,New York,Co,322,REFERRED,Senator
476,158,,King,New York,Primary,336,INTRODUCED,Senator
477,158,,Carter,Georgia,Co,44,INTRODUCED,Senator
478,158,,Bishop,Georgia,Co,9,INTRODUCED,Senator
479,158,,Wilson,South Carolina,Co,254,INTRODUCED,Senator
480,158,,Joyce,Ohio,Co,261,INTRODUCED,Senator
481,158,,Ryan,Ohio,Co,262,INTRODUCED,Senator
482,161,,Thompson,Pennsylvania,Primary,280,,
483,163,,Price,North Carolina,Co,288,INTRODUCED,Representative
484,166,,Ryan,Ohio,Co,262,,
485,166,,Johnson,Georgia,Co,0,,
486,166,,Wilson,Florida,Co,278,,
487,170,,Smith,New Jersey,Co,323,INTRODUCED,Representative
488,170,,Brown,Maryland,Co,304,INTRODUCED,Representative
489,171,,Scott,Virginia,Primary,52,,
490,172,,Poe,Texas,Co,129,,
491,174,,Clarke,New York,Co,330,,
492,174,Al,Green,Texas,Co,132,,
493,174,Al,Green,Texas,Co,128,,
494,174,Ted,Lieu,California,Co,378,,
495,178,,Rice,New York,Primary,335,,
496,178,Sean P,Maloney,New York,Co,329,,
497,178,Sean P,Maloney,New York,Co,322,,
498,179,Al,Green,Texas,Primary,132,,
499,179,Al,Green,Texas,Primary,128,,
500,179,,Bishop,Georgia,Co,9,,
501,179,,Brown,Maryland,Co,304,,
502,179,,Carson,Indiana,Co,202,,
503,179,,Clarke,New York,Co,330,,
504,179,Danny K,Davis,Illinois,Co,187,,
505,179,Danny K,Davis,Illinois,Co,158,,
506,179,Eddie B,Johnson,Texas,Co,117,,
507,179,Eddie B,Johnson,Texas,Co,113,,
508,179,,Johnson,Georgia,Co,0,,
509,179,,Kelly,Illinois,Co,177,,
510,179,,Lawson,Florida,Co,249,,
511,179,,Lewis,Georgia,Co,221,,
512,179,David,Scott,Georgia,Co,230,,
513,179,David,Scott,Georgia,Co,216,,
514,179,,Scott,Virginia,Co,52,,
515,179,,Sewell,Alabama,Co,172,,
516,179,,Thompson,Mississippi,Co,155,,
517,179,Maxine,Waters,California,Co,383,,
518,179,,Wilson,Florida,Co,278,,
519,185,,Thompson,Pennsylvania,Primary,280,INTRODUCED,Representative
520,186,,Clarke,New York,Primary,330,INTRODUCED,Representative
521,187,,Clark,Massachusetts,Co,347,,
522,187,Sean P,Maloney,New York,Co,329,,
523,187,Sean P,Maloney,New York,Co,322,,
524,187,,Brownley,California,Co,92,,
525,187,,Swalwell,California,Co,361,,
526,187,Carolyn B,Maloney,New York,Co,329,,
527,187,Carolyn B,Maloney,New York,Co,322,,
528,187,Ted,Lieu,California,Co,378,,
529,187,,Frankel,Florida,Co,279,,
530,187,,Frankel,Florida,Co,277,,
531,187,,Rice,New York,Co,335,,
532,187,,Larsen,Washington,Co,83,,
533,187,,Clarke,New York,Co,330,,
534,187,Judy,Chu,California,Co,388,,
535,187,,Smith,Washington,Co,357,,
536,187,,Johnson,Georgia,Co,0,,
537,187,,Higgins,New York,Co,290,,
538,187,Brendan F,Boyle,Pennsylvania,Co,315,,
539,187,,Esty,Connecticut,Co,337,,
540,189,,Smith,Texas,Co,452,INTRODUCED,Senator
541,191,,Lewis,Georgia,Primary,221,INTRODUCED,Representative
542,191,Carolyn B,Maloney,New York,Co,329,INTRODUCED,Representative
543,191,Carolyn B,Maloney,New York,Co,322,INTRODUCED,Representative
544,191,,Clarke,New York,Co,330,INTRODUCED,Representative
545,191,,Kuster,New Hampshire,Co,345,INTRODUCED,Representative
546,194,Maxine,Waters,California,Primary,383,INTRODUCED,Representative
547,194,,Kelly,Illinois,Co,177,INTRODUCED,Representative
548,194,Danny K,Davis,Illinois,Co,187,INTRODUCED,Representative
549,194,Danny K,Davis,Illinois,Co,158,INTRODUCED,Representative
550,194,Sean P,Maloney,New York,Co,329,INTRODUCED,Representative
551,194,Sean P,Maloney,New York,Co,322,INTRODUCED,Representative
552,194,,Wilson,Florida,Co,278,INTRODUCED,Representative
553,194,,Clarke,New York,Co,330,INTRODUCED,Representative
554,194,,Johnson,Georgia,Co,0,INTRODUCED,Representative
555,194,,Thompson,Mississippi,Co,155,INTRODUCED,Representative
556,194,,Esty,Connecticut,Co,337,INTRODUCED,Representative
557,194,,Lewis,Georgia,Co,221,INTRODUCED,Representative
558,196,,Bishop,Georgia,Co,9,,
559,196,,Carson,Indiana,Co,202,,
560,196,,Castor,Florida,Co,42,,
561,196,,Clark,Massachusetts,Co,347,,
562,196,Danny K,Davis,Illinois,Co,187,,
563,196,Danny K,Davis,Illinois,Co,158,,
564,196,Al,Green,Texas,Co,132,,
565,196,Al,Green,Texas,Co,128,,
566,196,Eddie B,Johnson,Texas,Co,117,,
567,196,Eddie B,Johnson,Texas,Co,113,,
568,196,,Johnson,Georgia,Co,0,,
569,196,,Kelly,Illinois,Co,177,,
570,196,,Lewis,Georgia,Co,221,,
571,196,,Scott,Virginia,Co,52,,
572,196,,Sewell,Alabama,Co,172,,
573,196,,Smith,Washington,Co,357,,
574,196,,Swalwell,California,Co,361,,
575,196,,Thompson,Mississippi,Co,155,,
576,196,,Wilson,Florida,Co,278,,
577,196,Maxine,Waters,California,Co,383,,
578,196,,Clarke,New York,Co,330,,
579,197,,Clarke,New York,Co,330,,
580,199,,Clarke,New York,Primary,330,INTRODUCED,Senator
581,199,Sean P,Maloney,New York,Co,329,INTRODUCED,Senator
582,199,Sean P,Maloney,New York,Co,322,INTRODUCED,Senator
583,199,,Wilson,Florida,Co,278,INTRODUCED,Senator
584,199,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Senator
585,199,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Senator
586,201,Judy,Chu,California,Primary,388,,
587,202,Maxine,Waters,California,Primary,383,,
588,202,Judy,Chu,California,Co,388,,
589,202,,Wilson,Florida,Co,278,,
590,202,,Clarke,New York,Co,330,,
591,202,,Kelly,Illinois,Co,177,,
592,202,,Brownley,California,Co,92,,
593,204,,Clarke,New York,Primary,330,INTRODUCED,Senator
594,210,,Clark,Massachusetts,Co,347,REPORTED,Representative
595,213,,Frankel,Florida,Primary,279,,
596,213,,Frankel,Florida,Primary,277,,
597,213,Brendan F,Boyle,Pennsylvania,Co,315,,
598,213,Carolyn B,Maloney,New York,Co,329,,
599,213,Carolyn B,Maloney,New York,Co,322,,
600,213,,Thompson,California,Co,354,,
601,213,,Castor,Florida,Co,42,,
602,213,,Clarke,New York,Co,330,,
603,213,,Davis,California,Co,403,,
604,213,,Wilson,Florida,Co,278,,
605,213,,Scott,Virginia,Co,52,,
606,213,,Lawson,Florida,Co,249,,
607,213,,Brownley,California,Co,92,,
608,213,,Ryan,Ohio,Co,262,,
609,213,Maxine,Waters,California,Co,383,,
610,213,,Brady,Pennsylvania,Co,316,,
611,213,,Clark,Massachusetts,Co,347,,
612,213,,Swalwell,California,Co,361,,
613,213,,Kuster,New Hampshire,Co,345,,
614,214,Al,Green,Texas,Co,132,,
615,214,Al,Green,Texas,Co,128,,
616,214,,Thompson,Mississippi,Co,155,,
617,214,,Johnson,Georgia,Co,0,,
618,214,,Kelly,Illinois,Co,177,,
619,214,,Scott,Virginia,Co,52,,
620,215,Brendan F,Boyle,Pennsylvania,Co,315,,
621,215,,Carson,Indiana,Co,202,,
622,215,,Castor,Florida,Co,42,,
623,215,Judy,Chu,California,Co,388,,
624,215,,Clark,Massachusetts,Co,347,,
625,215,,Clarke,New York,Co,330,,
626,215,Danny K,Davis,Illinois,Co,187,,
627,215,Danny K,Davis,Illinois,Co,158,,
628,215,Al,Green,Texas,Co,132,,
629,215,Al,Green,Texas,Co,128,,
630,215,Eddie B,Johnson,Texas,Co,117,,
631,215,Eddie B,Johnson,Texas,Co,113,,
632,215,,Kelly,Illinois,Co,177,,
633,215,,Larsen,Washington,Co,83,,
634,215,,Ryan,Ohio,Co,262,,
635,215,David,Scott,Georgia,Co,230,,
636,215,David,Scott,Georgia,Co,216,,
637,215,,Sewell,Alabama,Co,172,,
638,215,,Thompson,Mississippi,Co,155,,
639,215,,Bishop,Georgia,Co,9,,
640,215,,Brown,Maryland,Co,304,,
641,215,,Lawson,Florida,Co,249,,
642,215,,Wilson,Florida,Co,278,,
643,216,,Frankel,Florida,Primary,279,,
644,216,,Frankel,Florida,Primary,277,,
645,216,,Ryan,Ohio,Co,262,,
646,216,,Davis,California,Co,403,,
647,216,Carolyn B,Maloney,New York,Co,329,,
648,216,Carolyn B,Maloney,New York,Co,322,,
649,216,,Brownley,California,Co,92,,
650,216,,Castor,Florida,Co,42,,
651,216,,Clarke,New York,Co,330,,
652,216,Brendan F,Boyle,Pennsylvania,Co,315,,
653,216,Sean P,Maloney,New York,Co,329,,
654,216,Sean P,Maloney,New York,Co,322,,
655,216,,Wilson,Florida,Co,278,,
656,216,,Lawson,Florida,Co,249,,
657,216,,Smith,Washington,Co,357,,
658,216,,Kuster,New Hampshire,Co,345,,
659,216,,Johnson,Georgia,Co,0,,
660,216,,Brady,Pennsylvania,Co,316,,
661,216,,Castro,Texas,Co,99,,
662,216,,Swalwell,California,Co,361,,
663,217,Judy,Chu,California,Co,388,INTRODUCED,Representative
664,217,Ted,Lieu,California,Co,378,INTRODUCED,Representative
665,217,,Smith,Washington,Co,357,INTRODUCED,Representative
666,217,,Swalwell,California,Co,361,INTRODUCED,Representative
667,218,,Rice,New York,Co,335,,
668,218,,Clark,Massachusetts,Co,347,,
669,218,,Larsen,Washington,Co,83,,
670,218,,Clarke,New York,Co,330,,
671,218,,Ryan,Ohio,Co,262,,
672,218,,Price,North Carolina,Co,288,,
673,218,,Kelly,Illinois,Co,177,,
674,218,Danny K,Davis,Illinois,Co,187,,
675,218,Danny K,Davis,Illinois,Co,158,,
676,218,Judy,Chu,California,Co,388,,
677,218,,Lewis,Georgia,Co,221,,
678,218,,Frankel,Florida,Co,279,,
679,218,,Frankel,Florida,Co,277,,
680,218,Carolyn B,Maloney,New York,Co,329,,
681,218,Carolyn B,Maloney,New York,Co,322,,
682,219,Maxine,Waters,California,Co,383,,
683,219,Al,Green,Texas,Co,132,,
684,219,Al,Green,Texas,Co,128,,
685,220,,Lewis,Georgia,Primary,221,INTRODUCED,Representative
686,222,Eddie B,Johnson,Texas,Primary,117,INTRODUCED,Representative
687,222,Eddie B,Johnson,Texas,Primary,113,INTRODUCED,Representative
688,223,Al,Green,Texas,Primary,132,INTRODUCED,Representative
689,223,Al,Green,Texas,Primary,128,INTRODUCED,Representative
690,223,,Brown,Maryland,Co,304,INTRODUCED,Representative
691,223,,Thompson,Mississippi,Co,155,INTRODUCED,Representative
692,223,Danny K,Davis,Illinois,Co,187,INTRODUCED,Representative
693,223,Danny K,Davis,Illinois,Co,158,INTRODUCED,Representative
694,223,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Representative
695,223,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Representative
696,223,,Wilson,Florida,Co,278,INTRODUCED,Representative
697,223,,Johnson,Georgia,Co,0,INTRODUCED,Representative
698,223,,Lewis,Georgia,Co,221,INTRODUCED,Representative
699,223,,Kelly,Illinois,Co,177,INTRODUCED,Representative
700,223,,Clarke,New York,Co,330,INTRODUCED,Representative
701,228,,Clark,Massachusetts,Primary,347,INTRODUCED,Representative
702,230,,Swalwell,California,Co,361,INTRODUCED,Representative
703,230,,Murphy,Florida,Co,264,INTRODUCED,Representative
704,230,,Webster,Florida,Co,38,INTRODUCED,Representative
705,230,,Collins,New York,Co,48,INTRODUCED,Representative
706,231,,Clarke,New York,Co,330,INTRODUCED,Senator
707,231,,Wilson,Florida,Co,278,INTRODUCED,Senator
708,231,,Kelly,Illinois,Co,177,INTRODUCED,Senator
709,231,,Smith,Washington,Co,357,INTRODUCED,Senator
710,231,,Brownley,California,Co,92,INTRODUCED,Senator
711,231,Ted,Lieu,California,Co,378,INTRODUCED,Senator
712,231,,Castro,Texas,Co,99,INTRODUCED,Senator
713,231,Maxine,Waters,California,Co,383,INTRODUCED,Senator
714,231,,Scott,Virginia,Co,52,INTRODUCED,Senator
715,235,,Swalwell,California,Co,361,,
716,235,Brendan F,Boyle,Pennsylvania,Co,315,,
717,235,Sean P,Maloney,New York,Co,329,,
718,235,Sean P,Maloney,New York,Co,322,,
719,235,Judy,Chu,California,Co,388,,
720,242,,Bishop,Georgia,Co,9,,
721,242,,Clarke,New York,Co,330,,
722,242,,Johnson,Georgia,Co,0,,
723,242,Sean P,Maloney,New York,Co,329,,
724,242,Sean P,Maloney,New York,Co,322,,
725,242,,Swalwell,California,Co,361,,
726,244,Maxine,Waters,California,Primary,383,INTRODUCED,Senator
727,244,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Senator
728,244,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Senator
729,244,,Smith,Washington,Co,357,INTRODUCED,Senator
730,244,David,Scott,Georgia,Co,230,INTRODUCED,Senator
731,244,David,Scott,Georgia,Co,216,INTRODUCED,Senator
732,244,,Lawson,Florida,Co,249,INTRODUCED,Senator
733,250,,Thompson,Mississippi,Co,155,INTRODUCED,Representative
734,250,,Wilson,Florida,Co,278,INTRODUCED,Representative
735,250,,Johnson,Georgia,Co,0,INTRODUCED,Representative
736,250,,Bishop,Georgia,Co,9,INTRODUCED,Representative
737,250,,Sewell,Alabama,Co,172,INTRODUCED,Representative
738,250,,Clarke,New York,Co,330,INTRODUCED,Representative
739,250,,Carson,Indiana,Co,202,INTRODUCED,Representative
740,250,,Esty,Connecticut,Co,337,INTRODUCED,Representative
741,250,,Lewis,Georgia,Co,221,INTRODUCED,Representative
742,250,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Representative
743,250,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Representative
744,251,,Thompson,Mississippi,Primary,155,INTRODUCED,Representative
745,259,,Thompson,Pennsylvania,Co,280,INTRODUCED,Representative
746,265,,Carson,Indiana,Primary,202,INTRODUCED,Representative
747,265,,Costello,Pennsylvania,Co,308,INTRODUCED,Representative
748,266,,Ryan,Ohio,Primary,262,INTRODUCED,Representative
749,267,Sean P,Maloney,New York,Co,329,INTRODUCED,Representative
750,267,Sean P,Maloney,New York,Co,322,INTRODUCED,Representative
751,268,,Kelly,Illinois,Co,177,INTRODUCED,Representative
752,269,Judy,Chu,California,Co,388,INTRODUCED,Representative
753,269,,Johnson,Georgia,Co,0,INTRODUCED,Representative
754,269,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Representative
755,269,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Representative
756,271,,Johnson,Georgia,Primary,0,INTRODUCED,Representative
757,271,,Clark,Massachusetts,Co,347,INTRODUCED,Representative
758,271,,Swalwell,California,Co,361,INTRODUCED,Representative
759,271,,Scott,Virginia,Co,52,INTRODUCED,Representative
760,271,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Representative
761,271,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Representative
762,271,Maxine,Waters,California,Co,383,INTRODUCED,Representative
763,271,,Ryan,Ohio,Co,262,INTRODUCED,Representative
764,271,,Higgins,New York,Co,290,INTRODUCED,Representative
765,271,Ted,Lieu,California,Co,378,INTRODUCED,Representative
766,271,,Frankel,Florida,Co,279,INTRODUCED,Representative
767,271,,Frankel,Florida,Co,277,INTRODUCED,Representative
768,272,,Smith,Texas,Co,452,INTRODUCED,Senator
769,277,,Curbelo,Florida,Primary,45,INTRODUCED,Representative
770,277,,Wilson,Florida,Co,278,INTRODUCED,Representative
771,279,,Curbelo,Florida,Primary,45,INTRODUCED,Senator
772,282,,Scott,Virginia,Primary,52,INTRODUCED,Representative
773,282,,Brady,Pennsylvania,Co,316,INTRODUCED,Representative
774,282,,Brown,Maryland,Co,304,INTRODUCED,Representative
775,282,,Brownley,California,Co,92,INTRODUCED,Representative
776,282,Judy,Chu,California,Co,388,INTRODUCED,Representative
777,282,,Clark,Massachusetts,Co,347,INTRODUCED,Representative
778,282,,Clarke,New York,Co,330,INTRODUCED,Representative
779,282,Danny K,Davis,Illinois,Co,187,INTRODUCED,Representative
780,282,Danny K,Davis,Illinois,Co,158,INTRODUCED,Representative
781,282,,Davis,California,Co,403,INTRODUCED,Representative
782,282,Al,Green,Texas,Co,132,INTRODUCED,Representative
783,282,Al,Green,Texas,Co,128,INTRODUCED,Representative
784,282,,Kelly,Illinois,Co,177,INTRODUCED,Representative
785,282,,Lawson,Florida,Co,249,INTRODUCED,Representative
786,282,,Ryan,Ohio,Co,262,INTRODUCED,Representative
787,282,David,Scott,Georgia,Co,230,INTRODUCED,Representative
788,282,David,Scott,Georgia,Co,216,INTRODUCED,Representative
789,282,,Sewell,Alabama,Co,172,INTRODUCED,Representative
790,282,,Wilson,Florida,Co,278,INTRODUCED,Representative
791,282,,Swalwell,California,Co,361,INTRODUCED,Representative
792,283,,Clarke,New York,Co,330,,
793,287,,Scott,Virginia,Co,52,,
794,287,,Brown,Maryland,Co,304,,
795,287,Eddie B,Johnson,Texas,Co,117,,
796,287,Eddie B,Johnson,Texas,Co,113,,
797,287,,Kelly,Illinois,Co,177,,
798,287,,Brady,Pennsylvania,Co,316,,
799,287,Carolyn B,Maloney,New York,Co,329,,
800,287,Carolyn B,Maloney,New York,Co,322,,
801,287,,Price,North Carolina,Co,288,,
802,287,,Higgins,New York,Co,290,,
803,287,David,Scott,Georgia,Co,230,,
804,287,David,Scott,Georgia,Co,216,,
805,287,,Murphy,Florida,Co,264,,
806,287,,Bishop,Georgia,Co,9,,
807,287,Danny K,Davis,Illinois,Co,187,,
808,287,Danny K,Davis,Illinois,Co,158,,
809,287,,Lewis,Georgia,Co,221,,
810,287,Ted,Lieu,California,Co,378,,
811,287,,Lawson,Florida,Co,249,,
